date,city,hpi
2010-03-31,Jaipur,142.5
2010-06-30,Jaipur,144.9
2010-06-30,Jaipur,95.312153938016
2010-09-30,Jaipur,99.047963142297
2010-09-30,Jaipur,149.7
2010-12-31,Jaipur,157.3
2010-12-31,Jaipur,103.574957552392
2011-03-31,Jaipur,155.3
2011-03-31,Jaipur,102.064925367295
2011-06-30,Jaipur,161.1
2011-06-30,Jaipur,106.272775009928
2011-09-30,Jaipur,109.565380141635
2011-09-30,Jaipur,165.1
2011-12-31,Jaipur,163.5
2011-12-31,Jaipur,108.256343156574
2012-03-31,Jaipur,164.4
2012-03-31,Jaipur,108.595924157054
2012-06-30,Jaipur,171.9
2012-06-30,Jaipur,113.383167204816
2012-09-30,Jaipur,117.357450298116
2012-09-30,Jaipur,177.7
2012-12-31,Jaipur,179.4
2012-12-31,Jaipur,118.930366196616
2013-03-31,Jaipur,129.374972468947
2013-03-31,Jaipur,194.0
2013-06-30,Jaipur,129.374972468947
2013-09-30,Jaipur,128.01540381647
2013-12-31,Jaipur,127.296565465431
2014-03-31,Jaipur,119.96545868872
2014-06-30,Jaipur,120.6
2014-09-30,Jaipur,131.7
2014-12-31,Jaipur,143.576200453209
2015-03-31,Jaipur,140.57886957165
2015-06-30,Jaipur,132.680131947625
2015-09-30,Jaipur,136.023022942593
2015-12-31,Jaipur,136.064734774058
2016-03-31,Jaipur,126.077293809315
2016-06-30,Jaipur,126.80847024032
2016-09-30,Jaipur,127.51558334595
2016-12-31,Jaipur,128.665084990427
2017-03-31,Jaipur,129.439591550292
2017-06-30,Jaipur,132.695716560706
2017-09-30,Jaipur,144.522340782928
2017-12-31,Jaipur,149.434069014455
2018-03-31,Jaipur,159.186785972696
2018-06-30,Jaipur,155.597080347247
2018-09-30,Jaipur,157.631926528442
2018-12-31,Jaipur,152.761719258429
2019-03-31,Jaipur,140.9969843243
2019-06-30,Jaipur,161.5
2019-09-30,Jaipur,177.338060650338
2019-12-31,Jaipur,175.549429666716
2020-03-31,Jaipur,172.812359625933
2020-06-30,Jaipur,172.618764362802
2020-09-30,Jaipur,172.599272301906
2020-12-31,Jaipur,170.975684594535
2021-03-31,Jaipur,166.673694524942
2021-06-30,Jaipur,167.146607648406
2021-09-30,Jaipur,181.161157543627
2021-12-31,Jaipur,188.530606606196
2022-03-31,Jaipur,186.96651451184
2022-06-30,Jaipur,175.611806104737
2022-09-30,Jaipur,173.799856437554
2022-12-31,Jaipur,171.633114739569
2023-03-31,Jaipur,171.130914586105
2023-06-30,Jaipur,171.724698545318
2023-09-30,Jaipur,173.379953207083
2023-12-31,Jaipur,172.860009984612
2024-03-31,Jaipur,170.567038086243
2024-06-30,Jaipur,175.790721531061
2024-09-30,Jaipur,174.329550397329
2024-12-31,Jaipur,177.426294497562
2025-03-31,Jaipur,183.627753325021
,Jaipur,
,Jaipur,
,Jaipur,
,Jaipur,
,Jaipur,
,Jaipur,
,Jaipur,
2009-03-31,Kanpur,100.0
2009-06-30,Kanpur,113.0
2009-09-30,Kanpur,114.8
2009-12-31,Kanpur,114.1
2010-03-31,Kanpur,120.2
2010-06-30,Kanpur,119.0
2010-06-30,Kanpur,91.735054350571
2010-09-30,Kanpur,99.446162889106
2010-09-30,Kanpur,129.4
2010-12-31,Kanpur,133.5
2010-12-31,Kanpur,103.686822384866
2011-03-31,Kanpur,135.7
2011-03-31,Kanpur,105.131960375457
2011-06-30,Kanpur,135.4
2011-06-30,Kanpur,104.676173192346
2011-09-30,Kanpur,106.750183753528
2011-09-30,Kanpur,138.3
2011-12-31,Kanpur,140.0
2011-12-31,Kanpur,108.541486251379
2012-03-31,Kanpur,148.7
2012-03-31,Kanpur,114.947185168034
2012-06-30,Kanpur,144.9
2012-06-30,Kanpur,114.407213223454
2012-09-30,Kanpur,106.032524792417
2012-09-30,Kanpur,135.8
